date;ticker;family;group_col;quote;yield_val;duration;convexity
06-01-2025;BCHICJ1215;BE;BE;100,5797315;0,0316;7,419864895;62,98689207
06-01-2025;BCHICK0815;BE;BE;101,9762628;0,0312;7,472237622;64,5563345
06-01-2025;BCHICL1015;BE;BE;101,7747299;0,0307;7,641274358;67,17622628
06-01-2025;BCHICM1215;BE;BE;99,22122725;0,0334;7,794359222;69,24215518
06-01-2025;BCHICN0815;BE;BE;100,191346;0,0335;7,838535027;70,74914442
06-01-2025;BCHICO1215;BE;BE;102,1859429;0,0297;8,191074225;76,82645972
06-01-2025;BCHICP0815;BE;BE;102,9696115;0,03;8,22928156;78,30594687
06-01-2025;BCHICQ1015;BE;BE;102,2101936;0,0303;8,393580862;81,00293247
06-01-2025;BCHICR1215;BE;BE;101,7566067;0,0303;8,560704149;83,82961924
06-02-2025;BCHICA1015;BE;BE;102,79626;0,0266;5,192918694;31,99834413
06-02-2025;BCHICB1215;BE;BE;103,0695558;0,0263;5,34790184;33,74905624
06-02-2025;BCHICC0815;BE;BE;102,0319252;0,0273;5,51595932;35,57893574
06-02-2025;BCHICD0815;BE;BE;102,0371532;0,0276;5,929830125;40,83627535
06-02-2025;BCHICE1215;BE;BE;102,3318604;0,0281;6,1739708;44,29179598
06-02-2025;BCHICF0815;BE;BE;101,8115142;0,0282;6,343303007;46,45071915
06-02-2025;BCHICG0815;BE;BE;102,1370583;0,0278;6,748721951;52,41523109
06-02-2025;BCHICH1215;BE;BE;102,6359717;0,028;6,981288027;56,23298487
06-02-2025;BCHICI0815;BE;BE;102,8025724;0,0281;7,129551529;58,4156023
06-02-2025;BCHICJ1215;BE;BE;101,0902723;0,0313;7,336257746;61,77944376
06-02-2025;BCHICK0815;BE;BE;100,2289341;0,0318;7,501505714;64,1851986
06-02-2025;BCHICL1015;BE;BE;100,939032;0,0322;7,548560048;65,60591682
06-02-2025;BCHICM1215;BE;BE;100,8302173;0,0317;7,718282135;68,25208043
06-02-2025;BCHICN0815;BE;BE;100,8271515;0,031;7,891398729;71,03660846
06-02-2025;BCHICO1215;BE;BE;102,1046192;0,0301;8,103742999;75,35420475
06-02-2025;BCHICP0815;BE;BE;101,579217;0,0301;8,271234067;78,09446443
06-02-2025;BCHICQ1015;BE;BE;102,5541697;0,0302;8,309342254;79,61032682
06-02-2025;BCHICR1215;BE;BE;102,2671882;0,03;8,477850548;82,46005215
06-04-2026;BCHICA1015;BE;BE;103,4893376;0,0218;4,237502879;21,88151595
06-04-2026;BCHICB1215;BE;BE;104,1419847;0,0239;4,333523156;22,92811186
06-04-2026;BCHICC0815;BE;BE;103,8670563;0,0236;4,503454574;24,53704836
06-04-2026;BCHICD0815;BE;BE;104,4330185;0,0231;4,931971167;29,11810584
06-04-2026;BCHICE1215;BE;BE;104,4378875;0,0245;5,189138807;32,1129929
06-04-2026;BCHICF0815;BE;BE;104,2369421;0,0241;5,359380974;34,011804
06-04-2026;BCHICG0815;BE;BE;103,9617243;0,025;5,775641784;39,16308437
06-04-2026;BCHICH1215;BE;BE;104,8927242;0,0246;6,02321503;42,67018425
06-04-2026;BCHICI0815;BE;BE;105,1161829;0,0246;6,176439994;44,64939737
06-04-2026;BCHICJ1215;BE;BE;105,5760186;0,025;6,409695327;48,16171661
06-04-2026;BCHICK0815;BE;BE;105,309115;0,0248;6,57770651;50,41434288
06-04-2026;BCHICL1015;BE;BE;105,1572927;0,0244;6,745557379;52,7425562
06-04-2026;BCHICM1215;BE;BE;106,4010045;0,0243;6,812428574;54,27409098
06-04-2026;BCHICN0815;BE;BE;104,8268482;0,0258;6,97650073;56,44565376
06-04-2026;BCHICO1215;BE;BE;105,2615648;0,0262;7,197084497;60,24703145
06-04-2026;BCHICP0815;BE;BE;105,8800175;0,0248;7,370583777;62,95593747
06-04-2026;BCHICQ1015;BE;BE;105,6119593;0,0246;7,538013631;65,51723738
06-04-2026;BCHICR1215;BE;BE;106,9177018;0,0244;7,594223354;67,13382746
07-02-2025;BCHICA1015;BE;BE;101,6491814;0,0289;5,181185814;31,74095422
07-02-2025;BCHICB1215;BE;BE;101,9734638;0,0284;5,336401236;33,49505135
07-02-2025;BCHICC0815;BE;BE;100,9917719;0,0293;5,504605422;35,32222709
07-02-2025;BCHICD0815;BE;BE;101,1661918;0,0291;5,918643623;40,59193539
07-02-2025;BCHICE1215;BE;BE;101,5820357;0,0294;6,162554132;44,04809504
07-02-2025;BCHICF0815;BE;BE;101,1239774;0,0293;6,3323765;46,22042966
07-02-2025;BCHICG0815;BE;BE;101,6116606;0,0287;6,737805529;52,18460158
07-02-2025;BCHICH1215;BE;BE;102,2164225;0,0286;6,97090346;56,02946605
07-02-2025;BCHICI0815;BE;BE;102,4360193;0,0286;7,119490291;58,22125305
